ID,TOPSIS_Score,TOPSIS_Rank,ML_Score,Final_Score,Final_Rank,Classe_predite,Moyenne,Alternance,Licence_EDN,Diplome_norm,Niveau_Math
38,0.9009314711900201,1,0.957723,0.923648,1,Excellent,14.5,1.0,1.0,5.0,3.0
376,0.8813345818972281,2,0.742977,0.825992,9,Excellent,12.0,2.0,1.0,5.0,3.0
539,0.8740366246967679,3,0.865426,0.870592,4,Excellent,12.743333333333334,1.0,1.0,5.0,3.0
648,0.8490674190206929,4,0.964649,0.8953,2,Excellent,14.89,0.0,1.0,5.0,3.0
724,0.8447272527397541,5,0.908484,0.87023,5,Excellent,14.286666666666669,1.0,1.0,5.0,1.0
359,0.8429561248526882,6,0.889748,0.861673,7,Excellent,12.685,2.0,1.0,5.0,1.0
498,0.8353367861435108,7,0.960992,0.885599,3,Excellent,13.335,0.0,1.0,5.0,3.0
750,0.8349564985488438,8,0.908484,0.864367,6,Excellent,13.285,1.0,1.0,5.0,1.0
580,0.8291740850362382,9,0.720873,0.785854,48,Excellent,12.75,0.0,1.0,5.0,3.0
422,0.829064866829651,10,0.718816,0.784965,54,Excellent,12.74,0.0,1.0,5.0,3.0
132,0.8204841082762915,11,0.869646,0.840149,8,Excellent,12.013333333333334,1.0,1.0,5.0,1.0
402,0.8009897938583836,12,0.809381,0.804346,13,Excellent,13.27,0.0,1.0,5.0,1.0
787,0.7965896148919279,13,0.824401,0.807714,10,Excellent,12.76,0.0,1.0,5.0,1.0
48,0.7778767882362668,14,0.489815,0.662652,60,Excellent,10.86,0.0,1.0,5.0,1.0
123,0.7603099999459194,15,0.85432,0.797914,15,Excellent,16.0,1.0,0.0,5.0,3.0
475,0.7599678804307533,16,0.689987,0.731975,58,Excellent,11.83,0.0,1.0,5.0,0.0
733,0.7564712236248468,17,0.846039,0.792298,18,Excellent,13.44,2.0,0.0,5.0,3.0
570,0.7504608739823216,18,0.883131,0.803529,14,Excellent,13.891,1.0,0.0,5.0,3.0
372,0.7481064982139075,19,0.891319,0.805392,11,Excellent,13.494,1.0,0.0,5.0,3.0
275,0.7475028034355835,20,0.891319,0.805029,12,Excellent,13.396,1.0,0.0,5.0,3.0
18,0.7443954319292514,21,0.503763,0.648143,61,Excellent,12.912,1.0,0.0,5.0,3.0
757,0.7441249825630857,22,0.848257,0.785778,49,Excellent,17.13,0.0,0.0,5.0,3.0
446,0.7422723788142624,23,0.848257,0.784666,55,Excellent,16.44,0.0,0.0,5.0,3.0
46,0.7405442938362061,24,0.359064,0.587952,62,Bon,12.351,1.0,0.0,5.0,3.0
788,0.7396569878130641,25,0.848257,0.783097,56,Excellent,15.666,0.0,0.0,5.0,3.0
673,0.7377294084408716,26,0.867355,0.78958,35,Excellent,15.18,0.0,0.0,5.0,3.0
443,0.7368957553984729,27,0.258328,0.545469,64,Bon,10.8,2.0,0.0,5.0,3.0
119,0.7366539063732929,28,0.876363,0.792537,16,Excellent,14.93,0.0,0.0,5.0,3.0
205,0.7363128227651617,29,0.876363,0.792333,17,Excellent,14.853333333333332,0.0,0.0,5.0,3.0
326,0.7355378351601985,30,0.876363,0.791868,19,Excellent,14.683333333333332,0.0,0.0,5.0,3.0
111,0.735148605101728,31,0.876363,0.791634,20,Excellent,14.6,0.0,0.0,5.0,3.0
203,0.7350069884252952,32,0.876363,0.791549,21,Excellent,14.57,0.0,0.0,5.0,3.0
765,0.7348645834823424,33,0.876363,0.791464,22,Excellent,14.54,0.0,0.0,5.0,3.0
120,0.7345774154353634,34,0.876363,0.791292,23,Excellent,14.48,0.0,0.0,5.0,3.0
719,0.734305446131103,35,0.291217,0.55707,63,Bon,11.509,1.0,0.0,5.0,3.0
532,0.7340428135008132,36,0.876363,0.790971,26,Excellent,14.37,0.0,0.0,5.0,3.0
154,0.7337963544930398,37,0.876363,0.790823,29,Excellent,14.32,0.0,0.0,5.0,3.0
558,0.733756721325072,38,0.873251,0.789555,36,Excellent,14.312,0.0,0.0,5.0,3.0
563,0.7337418447044767,39,0.875164,0.790311,30,Excellent,14.309,0.0,0.0,5.0,3.0
153,0.7334477018809652,40,0.875164,0.790134,31,Excellent,14.25,0.0,0.0,5.0,3.0
795,0.733254178166085,41,0.140866,0.496299,79,Moyen,13.2,2.0,0.0,5.0,1.0
95,0.732686506726772,42,0.878582,0.791045,24,Excellent,14.1,0.0,0.0,5.0,3.0
129,0.7326350818001417,43,0.878582,0.791014,25,Excellent,14.09,0.0,0.0,5.0,3.0
122,0.7325319787320963,44,0.878582,0.790952,27,Excellent,14.07,0.0,0.0,5.0,3.0
657,0.7325319787320963,44,0.878582,0.790952,27,Excellent,14.07,0.0,0.0,5.0,3.0
741,0.7323766921524474,46,0.871981,0.788218,42,Excellent,14.04,0.0,0.0,5.0,3.0
195,0.732168466673458,47,0.871981,0.788094,43,Excellent,14.0,0.0,0.0,5.0,3.0
380,0.7318430694906845,48,0.871981,0.787898,44,Excellent,13.938,0.0,0.0,5.0,3.0
340,0.7315332936759283,49,0.236982,0.533713,65,Bon,11.155,1.0,0.0,5.0,3.0
227,0.731268608549639,50,0.876632,0.789414,37,Excellent,13.83,0.0,0.0,5.0,3.0
157,0.7310101967583384,51,0.876632,0.789259,38,Excellent,13.782,0.0,0.0,5.0,3.0
585,0.7308368698501814,52,0.876632,0.789155,39,Excellent,13.75,0.0,0.0,5.0,3.0
109,0.7302898271167841,53,0.869405,0.785936,47,Excellent,13.65,0.0,0.0,5.0,3.0
87,0.7296787090000152,54,0.869405,0.785569,51,Excellent,13.54,0.0,0.0,5.0,3.0
647,0.7295946195865728,55,0.868655,0.785219,53,Excellent,13.525,0.0,0.0,5.0,3.0
